,Unnamed: 0,all_titles,all_years,all_scores,all_meta,all_votes,all_gross,all_genres,id
2877,2877,Hannibal Rising,(2007),6.2,35        ,99124,"27,670,986","
Adventure, Crime, Drama            ",tt0367959
2878,2878,The Island of Dr. Moreau,(1996),4.5,no,29565,"27,663,982","
Horror, Sci-Fi, Thriller            ",tt0116654
2879,2879,Cadillac Man,(1990),5.7,50        ,12641,"27,627,310","
Comedy, Crime            ",tt0099204
2880,2880,The Finest Hours,(2016),6.7,58        ,57267,"27,550,735","
Drama, History, Thriller            ",tt2025690
2881,2881,Do the Right Thing,(1989),7.9,92        ,77514,"27,545,445","
Comedy, Drama            ",tt0097216
2882,2882,Poetic Justice,(1993),6.0,51        ,11554,"27,515,786","
Drama, Romance            ",tt0107840
2883,2883,My Life,(1993),6.8,no,9962,"27,484,464","
Drama            ",tt0107630
2884,2884,Friday,(1995),7.3,54        ,92766,"27,467,564","
Comedy, Drama            ",tt0113118
2885,2885,The Brothers,(2001),6.4,50        ,3876,"27,457,409","
Comedy, Drama            ",tt0250274
2886,2886,Memphis Belle,(1990),6.9,no,25594,"27,441,977","
Action, Drama, War            ",tt0100133
2887,2887,Love & Basketball,(2000),7.2,70        ,17001,"27,441,122","
Drama, Romance, Sport            ",tt0199725
2888,2888,Now and Then,(1995),6.8,no,25573,"27,400,000","
Comedy, Drama, Romance            ",tt0114011
2889,2889,Desperately Seeking Susan,(1985),6.0,71        ,19545,"27,398,584","
Comedy, Drama            ",tt0089017
2890,2890,Florence Foster Jenkins,(2016),6.8,71        ,46270,"27,370,107","
Biography, Comedy, Drama            ",tt4136084
2891,2891,The Last Witch Hunter,(2015),6.0,34        ,88435,"27,367,660","
Action, Adventure, Fantasy            ",tt1618442
2892,2892,Brown Sugar,(2002),6.5,58        ,8078,"27,362,712","
Romance, Comedy, Drama            ",tt0297037
2893,2893,Animal Attraction,(2001),6.1,32        ,22453,"27,338,033","
Comedy, Romance            ",tt0244970
2894,2894,Midsommar,(I) (2019),7.2,72        ,76257,"27,331,977","
Drama, Horror, Mystery            ",tt8772262
2895,2895,Dallas Buyers Club,(2013),8.0,84        ,410480,"27,298,285","
Biography, Drama            ",tt0790636
2896,2896,No Escape,(I) (2015),6.8,38        ,71927,"27,285,953","
Action, Thriller            ",tt1781922
2897,2897,The Muppet Christmas Carol,(1992),7.7,64        ,43348,"27,281,507","
Comedy, Drama, Family            ",tt0104940
2898,2898,High Fidelity,(2000),7.5,79        ,160314,"27,277,055","
Comedy, Drama, Music            ",tt0146882
2899,2899,A Passage to India,(1984),7.3,no,15893,"27,187,653","
Adventure, Drama, History            ",tt0087892
2900,2900,Brooklyn's Finest,(2009),6.7,43        ,58718,"27,154,426","
Crime, Drama, Thriller            ",tt1210042
2901,2901,Airplane II: The Sequel,(1982),6.2,48        ,45879,"27,150,534","
Comedy, Sci-Fi            ",tt0083530
2902,2902,Baby Geniuses,(1999),2.6,6        ,24203,"27,141,959","
Comedy, Crime, Family            ",tt0118665
2903,2903,The Jazz Singer,(1980),5.9,37        ,3596,"27,118,000","
Drama, Music, Romance            ",tt0080948
2904,2904,Cloud Atlas,(2012),7.4,55        ,330866,"27,108,272","
Action, Drama, Mystery            ",tt1371111
2905,2905,All Dogs Go to Heaven,(1989),6.8,50        ,33430,"27,100,027","
Animation, Comedy, Drama            ",tt0096787
2906,2906,Fast Times at Ridgemont High,(1982),7.2,67        ,86993,"27,092,880","
Comedy, Drama            ",tt0083929
2907,2907,Joe Dirt,(2001),5.9,20        ,48494,"27,087,695","
Adventure, Comedy, Drama            ",tt0245686
